Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run1"
Maximum Load : Flexure extension at Maximum Load,"1.50294",in
Maximum Load : Maximum Load,"131.18347",lbf

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.71953","15.15737"
"0.10000","0.72005","15.52348"
"0.20000","0.72026","15.11336"
"0.30000","0.72033","15.18465"
"0.40000","0.72036","15.38442"
"0.50000","0.72039","15.25241"
"0.60000","0.72044","14.96111"
"0.70000","0.72048","15.22513"
"0.80000","0.72057","15.22249"
"0.90000","0.72069","14.93031"
"1.00000","0.72080","14.74373"
"1.10000","0.72091","14.74549"
"1.20000","0.72104","14.79037"
"1.30000","0.72117","15.04120"
"1.40000","0.72130","15.06144"
"1.50000","0.72144","14.80094"
"1.60000","0.72156","15.23481"
"1.70000","0.72168","14.92590"
"1.80000","0.72183","15.12480"
"1.90000","0.72196","15.01039"
"2.00000","0.72211","15.07904"
"2.10000","0.72223","15.24889"
"2.20000","0.72236","15.05176"
"2.30000","0.72250","14.95759"
"2.40000","0.72264","14.79037"
"2.50000","0.72276","14.96023"
"2.60000","0.72290","14.86342"
"2.70000","0.72303","14.92414"
"2.80000","0.72316","14.69797"
"2.90000","0.72330","14.94439"
"3.00000","0.72341","14.91358"
"3.10000","0.72353","14.73053"
"3.20000","0.72367","14.59236"
"3.30000","0.72379","14.85638"
"3.40000","0.72393","15.07728"
"3.50000","0.72406","14.77805"
"3.60000","0.72420","15.15296"
"3.70000","0.72432","14.98751"
"3.80000","0.72447","15.23217"
"3.90000","0.72460","15.05704"
"4.00000","0.72473","15.33690"
"4.10000","0.72487","15.07288"
"4.20000","0.72500","14.69445"
"4.30000","0.72514","15.03856"
"4.40000","0.72527","14.93031"
"4.50000","0.72539","15.29378"
"4.60000","0.72552","15.42843"
"4.70000","0.72565","15.06672"
"4.80000","0.72578","15.01391"
"4.90000","0.72591","15.23217"
"5.00000","0.72604","14.94263"
"5.10000","0.72616","14.95671"
"5.20000","0.72631","14.99191"
"5.30000","0.72644","15.18993"
"5.40000","0.72656","15.17145"
"5.50000","0.72670","15.24713"
"5.60000","0.72683","14.96639"
"5.70000","0.72698","15.15825"
"5.80000","0.72711","15.14240"
"5.90000","0.72724","14.71645"
"6.00000","0.72736","15.12832"
"6.10000","0.72749","15.09224"
"6.20000","0.72763","15.24889"
"6.30000","0.72775","14.92063"
"6.40000","0.72789","15.19433"
"6.50000","0.72801","15.07376"
"6.60000","0.72813","15.24625"
"6.70000","0.72827","15.12304"
"6.80000","0.72840","15.18465"
"6.90000","0.72853","15.01039"
"7.00000","0.72866","15.46539"
"7.10000","0.72880","14.87310"
"7.20000","0.72894","15.44515"
"7.30000","0.72906","15.08784"
"7.40000","0.72919","15.18553"
"7.50000","0.72932","15.13976"
"7.60000","0.72947","15.22865"
"7.70000","0.72959","15.24713"
"7.80000","0.72973","15.22161"
"7.90000","0.72985","15.63172"
"8.00000","0.72997","15.53228"
"8.10000","0.73011","15.10896"
"8.20000","0.73023","15.45747"
"8.30000","0.73035","15.52787"
"8.40000","0.73049","15.56044"
"8.50000","0.73062","15.52172"
"8.60000","0.73076","15.13448"
"8.70000","0.73089","15.33426"
"8.80000","0.73102","15.78574"
"8.90000","0.73115","15.65285"
"9.00000","0.73130","15.53316"
"9.10000","0.73142","15.09136"
"9.20000","0.73155","15.44867"
"9.30000","0.73169","15.32458"
"9.40000","0.73182","15.32986"
"9.50000","0.73195","15.63877"
"9.60000","0.73208","15.49355"
"9.70000","0.73219","15.58420"
"9.80000","0.73233","15.44075"
"9.90000","0.73246","15.46451"
"10.00000","0.73259","15.32546"
"10.10000","0.73272","15.72237"
"10.20000","0.73286","16.27594"
"10.30000","0.73298","15.34394"
"10.40000","0.73312","15.57364"
"10.50000","0.73326","15.45835"
"10.60000","0.73338","15.60356"
"10.70000","0.73353","15.41171"
"10.80000","0.73365","15.85526"
"10.90000","0.73379","15.54724"
"11.00000","0.73392","15.55516"
"11.10000","0.73406","15.77694"
"11.20000","0.73418","15.92039"
"11.30000","0.73431","15.55604"
"11.40000","0.73445","15.33866"
"11.50000","0.73456","15.63789"
"11.60000","0.73469","15.84294"
"11.70000","0.73482","15.75053"
"11.80000","0.73495","15.55516"
"11.90000","0.73510","15.34130"
"12.00000","0.73523","15.64317"
"12.10000","0.73536","15.87023"
"12.20000","0.73549","15.60972"
"12.30000","0.73563","15.78750"
"12.40000","0.73575","15.80246"
"12.50000","0.73588","15.77254"
"12.60000","0.73602","15.92919"
"12.70000","0.73615","15.72677"
"12.80000","0.73630","16.28210"
"12.90000","0.73641","16.11752"
"13.00000","0.73655","16.12808"
"13.10000","0.73667","15.76461"
"13.20000","0.73678","16.06120"
"13.30000","0.73693","16.14129"
"13.40000","0.73706","16.24865"
"13.50000","0.73719","16.09552"
"13.60000","0.73732","16.21961"
"13.70000","0.73745","16.17649"
"13.80000","0.73759","15.57540"
"13.90000","0.73772","16.18705"
"14.00000","0.73786","16.03832"
"14.10000","0.73799","15.99080"
"14.20000","0.73814","16.38947"
"14.30000","0.73826","16.17297"
"14.40000","0.73839","16.30410"
"14.50000","0.73851","15.97759"
"14.60000","0.73864","15.90455"
"14.70000","0.73877","15.89750"
"14.80000","0.73891","15.96087"
"14.90000","0.73904","16.15361"
