strain,stress
0,1.2832
0.002089003,1.6942
0.001867708,1.7455
0.001963621,1.7984
0.002066811,1.8346
0.002030199,1.9858
0.002662824,2.502
0.00330196,3.0499
0.004049236,3.5949
0.00475907,4.1458
0.00542608,4.6891
0.006082193,5.2323
0.006743522,5.767
0.007448173,6.2923
0.008106844,6.808
0.008831096,7.3203
0.009420997,7.8255
0.01011907,8.3209
0.010771096,8.8085
0.011500631,9.2866
0.012126678,9.7558
0.012803256,10.2166
0.013482957,10.6643
0.014079568,11.1064
0.014852359,11.5411
0.015469867,11.9651
0.016131794,12.3766
0.016851229,12.7866
0.017435183,13.18
0.018151794,13.5652
0.018833189,13.9368
0.019488671,14.304
0.020194452,14.6577
0.020822027,15.0044
0.021464485,15.34
0.022082093,15.664
0.022822857,15.9809
0.023503056,16.2871
0.024116512,16.5815
0.024835748,16.8656
0.025547841,17.1421
0.02626412,17.4083
0.026914219,17.6656
0.027606578,17.9124
0.028265947,18.1494
0.028997209,18.3765
0.029718738,18.5877
0.03041505,18.7946
0.031088272,18.9917
0.031821495,19.1752
0.03248,19.3495
0.033151993,19.5183
0.033895282,19.6822
0.034587442,19.8371
0.035292193,19.9853
0.036009203,20.1246
0.036798372,20.2608
0.037526811,20.3925
0.03830402,20.5142
0.039117342,20.6314
0.039866711,20.7413
0.040600764,20.8452
0.041445714,20.9408
0.042249668,21.0342
0.043027176,21.1193
0.043793488,21.2009
0.044689967,21.2782
0.04550691,21.3468
0.046306545,21.4156
0.047132924,21.4769
0.047959203,21.5341
0.048852027,21.585
0.049755449,21.6357
0.050600133,21.6814
0.051484585,21.7235
0.052376445,21.7644
0.053260897,21.8014
0.05413505,21.8342
0.055039402,21.8622
0.055960831,21.8897
0.056813056,21.9144
0.057786047,21.9392
0.058714884,21.9619
0.059677243,21.98
0.060587276,21.9993
0.06150711,22.0145
0.062404186,22.0293
0.063333721,22.0401
0.06428495,22.0531
0.065290864,22.064
0.066256312,22.0742
0.067244817,22.0834
0.06819588,22.0925
0.069080565,22.0984
0.070123987,22.1027
0.070835548,22.1057
0.07179897,22.1101
0.072788007,22.1151
0.073741262,22.1203
0.074739269,22.1228
0.075664186,22.1263
0.076726478,22.1275
0.077628804,22.1288
0.078605615,22.1276
0.079612724,22.1289
0.080524884,22.1293
0.081593522,22.1277
0.082590133,22.1274
0.083483987,22.1277
0.084544551,22.1266
0.085446512,22.1231
0.086472658,22.1213
0.087455548,22.1176
0.088451595,22.1156
0.089455581,22.1119
0.09047897,22.1038
0.091388704,22.0917
