Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run4"
Maximum Load : Flexure extension at Maximum Load,"1.60063",in
Maximum Load : Maximum Load,"133.21203",lbf

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.83231","15.03240"
"0.10000","0.83284","15.11688"
"0.20000","0.83303","15.32370"
"0.30000","0.83310","14.51579"
"0.40000","0.83314","15.50147"
"0.50000","0.83318","14.97167"
"0.60000","0.83322","14.65572"
"0.70000","0.83328","15.29818"
"0.80000","0.83336","15.08432"
"0.90000","0.83347","14.94175"
"1.00000","0.83358","15.23041"
"1.10000","0.83370","15.09400"
"1.20000","0.83384","15.24097"
"1.30000","0.83397","14.73405"
"1.40000","0.83410","14.83614"
"1.50000","0.83422","15.13624"
"1.60000","0.83437","14.81238"
"1.70000","0.83450","14.98839"
"1.80000","0.83462","14.86782"
"1.90000","0.83476","14.99367"
"2.00000","0.83488","14.87486"
"2.10000","0.83502","14.88190"
"2.20000","0.83514","14.66364"
"2.30000","0.83526","15.00247"
"2.40000","0.83540","14.94703"
"2.50000","0.83553","14.56156"
"2.60000","0.83567","14.86518"
"2.70000","0.83580","14.92414"
"2.80000","0.83594","15.45835"
"2.90000","0.83606","15.51820"
"3.00000","0.83620","15.13448"
"3.10000","0.83634","15.09576"
"3.20000","0.83646","14.90126"
"3.30000","0.83660","15.12128"
"3.40000","0.83673","15.23305"
"3.50000","0.83686","14.90743"
"3.60000","0.83699","15.51643"
"3.70000","0.83712","14.77541"
"3.80000","0.83725","15.29818"
"3.90000","0.83737","15.24713"
"4.00000","0.83751","14.79741"
"4.10000","0.83763","15.06760"
"4.20000","0.83776","14.95319"
"4.30000","0.83789","14.92678"
"4.40000","0.83802","15.02624"
"4.50000","0.83817","15.03328"
"4.60000","0.83830","15.15296"
"4.70000","0.83843","15.33602"
"4.80000","0.83857","14.91887"
"4.90000","0.83869","15.04912"
"5.00000","0.83883","15.57716"
"5.10000","0.83896","15.10280"
"5.20000","0.83910","15.16177"
"5.30000","0.83922","15.18641"
"5.40000","0.83936","15.03152"
"5.50000","0.83949","15.31138"
"5.60000","0.83961","15.25945"
"5.70000","0.83974","15.15649"
"5.80000","0.83986","15.44603"
"5.90000","0.84000","15.23393"
"6.00000","0.84014","15.27089"
"6.10000","0.84027","15.27529"
"6.20000","0.84040","15.33250"
"6.30000","0.84053","15.29114"
"6.40000","0.84067","15.27177"
"6.50000","0.84080","15.14680"
"6.60000","0.84094","15.36330"
"6.70000","0.84106","15.05440"
"6.80000","0.84120","15.81654"
"6.90000","0.84133","15.66869"
"7.00000","0.84145","15.19785"
"7.10000","0.84158","15.50676"
"7.20000","0.84170","15.25065"
"7.30000","0.84184","15.47507"
"7.40000","0.84197","15.26209"
"7.50000","0.84209","15.69069"
"7.60000","0.84223","15.84822"
"7.70000","0.84236","15.50676"
"7.80000","0.84249","15.33426"
"7.90000","0.84263","15.57716"
"8.00000","0.84277","15.51643"
"8.10000","0.84289","16.08320"
"8.20000","0.84302","15.77694"
"8.30000","0.84316","15.74965"
"8.40000","0.84329","15.70565"
"8.50000","0.84343","15.48475"
"8.60000","0.84355","15.74525"
"8.70000","0.84368","16.07176"
"8.80000","0.84381","15.65109"
"8.90000","0.84394","15.90719"
"9.00000","0.84406","15.63877"
"9.10000","0.84419","15.38354"
"9.20000","0.84433","15.38266"
"9.30000","0.84446","15.58772"
"9.40000","0.84459","15.95911"
"9.50000","0.84473","16.23193"
"9.60000","0.84485","15.41259"
"9.70000","0.84500","15.43899"
"9.80000","0.84513","16.00839"
"9.90000","0.84526","15.96527"
"10.00000","0.84539","15.91247"
"10.10000","0.84553","15.73909"
"10.20000","0.84565","15.87023"
"10.30000","0.84578","15.97143"
"10.40000","0.84592","15.63965"
"10.50000","0.84604","16.06912"
"10.60000","0.84617","16.19937"
"10.70000","0.84630","15.63965"
"10.80000","0.84642","15.84118"
"10.90000","0.84656","15.75053"
"11.00000","0.84669","16.25394"
"11.10000","0.84683","15.78486"
"11.20000","0.84696","16.39299"
"11.30000","0.84710","15.79542"
"11.40000","0.84722","15.82534"
"11.50000","0.84735","16.33050"
"11.60000","0.84749","15.75141"
"11.70000","0.84762","16.02424"
"11.80000","0.84776","16.45811"
"11.90000","0.84788","16.45899"
"12.00000","0.84802","16.11752"
"12.10000","0.84814","16.07528"
"12.20000","0.84827","16.04712"
"12.30000","0.84840","16.30234"
"12.40000","0.84853","16.26890"
"12.50000","0.84866","16.20113"
"12.60000","0.84880","16.69221"
"12.70000","0.84894","15.81390"
"12.80000","0.84906","16.23633"
"12.90000","0.84919","16.42027"
"13.00000","0.84933","16.06384"
"13.10000","0.84946","15.93447"
"13.20000","0.84960","16.23809"
"13.30000","0.84972","16.21257"
"13.40000","0.84986","16.13161"
"13.50000","0.84999","16.14041"
"13.60000","0.85011","16.31378"
"13.70000","0.85024","16.40707"
"13.80000","0.85037","16.30146"
"13.90000","0.85049","16.26098"
"14.00000","0.85062","16.47483"
"14.10000","0.85076","16.87175"
"14.20000","0.85089","16.02864"
"14.30000","0.85101","16.39035"
"14.40000","0.85116","16.24073"
"14.50000","0.85129","16.59012"
"14.60000","0.85144","16.48803"
"14.70000","0.85156","16.48011"
"14.80000","0.85169","16.56020"
"14.90000","0.85183","16.59188"
"15.00000","0.85196","16.77846"
"15.10000","0.85209","16.58748"
"15.20000","0.85222","16.49947"
"15.30000","0.85236","16.76262"
"15.40000","0.85248","16.21257"
"15.50000","0.85261","16.34722"
"15.60000","0.85274","16.67725"
"15.70000","0.85285","16.48539"
"15.80000","0.85298","16.57252"
"15.90000","0.85312","16.73622"
"16.00000","0.85325","16.90607"
"16.10000","0.85340","16.36394"
"16.20000","0.85352","16.83126"
"16.30000","0.85365","17.03896"
"16.40000","0.85379","16.85502"
"16.50000","0.85392","16.27770"
"16.60000","0.85405","16.47747"
"16.70000","0.85418","16.53996"
"16.80000","0.85431","16.85238"
"16.90000","0.85444","16.86030"
"17.00000","0.85458","16.95359"
"17.10000","0.85470","16.54436"
"17.20000","0.85482","16.97383"
"17.30000","0.85496","16.92719"
"17.40000","0.85509","16.87263"
"17.50000","0.85523","16.66405"
"17.60000","0.85536","17.20089"
"17.70000","0.85549","16.76878"
"17.80000","0.85562","16.87791"
"17.90000","0.85576","16.99143"
"18.00000","0.85588","17.14369"
"18.10000","0.85602","17.54236"
"18.20000","0.85616","16.66405"
"18.30000","0.85629","17.02928"
"18.40000","0.85643","17.22730"
"18.50000","0.85655","16.93423"
"18.60000","0.85668","17.27306"
"18.70000","0.85681","17.15777"
"18.80000","0.85693","17.18065"
"18.90000","0.85706","16.93775"
"19.00000","0.85720","16.99496"
"19.10000","0.85733","16.94479"
"19.20000","0.85745","16.95359"
"19.30000","0.85758","17.11729"
"19.40000","0.85772","16.95183"
"19.50000","0.85784","17.04864"
"19.60000","0.85799","17.01872"
"19.70000","0.85812","16.99319"
"19.80000","0.85826","17.24050"
"19.90000","0.85839","17.24490"
"20.00000","0.85851","17.16305"
"20.10000","0.85865","17.46491"
"20.20000","0.85878","17.37251"
"20.30000","0.85892","16.94743"
"20.40000","0.85904","17.02752"
"20.50000","0.85918","17.43323"
"20.60000","0.85929","17.19209"
"20.70000","0.85942","17.43411"
"20.80000","0.85956","17.07856"
"20.90000","0.85969","17.30034"
"21.00000","0.85982","17.22466"
"21.10000","0.85995","17.27746"
"21.20000","0.86008","17.67173"
"21.30000","0.86022","17.21762"
"21.40000","0.86034","16.98967"
"21.50000","0.86048","17.19825"
"21.60000","0.86061","17.55644"
"21.70000","0.86075","17.43587"
"21.80000","0.86088","17.53972"
"21.90000","0.86102","17.17361"
"22.00000","0.86114","17.19825"
"22.10000","0.86126","17.39187"
"22.20000","0.86140","17.47900"
"22.30000","0.86152","17.64181"
"22.40000","0.86164","17.24490"
"22.50000","0.86178","17.61805"
"22.60000","0.86191","17.89791"
"22.70000","0.86205","16.93687"
"22.80000","0.86217","17.29946"
"22.90000","0.86231","17.57140"
"23.00000","0.86244","17.55380"
"23.10000","0.86259","17.58549"
"23.20000","0.86271","18.22706"
"23.30000","0.86284","17.63565"
"23.40000","0.86298","17.78438"
"23.50000","0.86311","17.92431"
"23.60000","0.86325","17.81166"
"23.70000","0.86337","17.67701"
"23.80000","0.86349","17.68317"
"23.90000","0.86363","17.81430"
"24.00000","0.86375","18.14697"
"24.10000","0.86389","17.54324"
"24.20000","0.86402","17.58460"
"24.30000","0.86415","17.61805"
"24.40000","0.86428","17.92431"
"24.50000","0.86443","17.97096"
"24.60000","0.86456","18.17161"
"24.70000","0.86468","17.69021"
"24.80000","0.86483","17.97976"
"24.90000","0.86495","18.00176"
"25.00000","0.86508","18.03080"
"25.10000","0.86521","17.99824"
"25.20000","0.86533","17.98064"
"25.30000","0.86547","18.33355"
"25.40000","0.86560","17.87415"
"25.50000","0.86573","17.88559"
"25.60000","0.86586","18.09857"
"25.70000","0.86598","17.98504"
"25.80000","0.86612","17.98152"
"25.90000","0.86625","18.03872"
"26.00000","0.86639","17.90583"
"26.10000","0.86651","17.88295"
"26.20000","0.86666","18.30098"
"26.30000","0.86678","18.01056"
"26.40000","0.86692","18.18658"
"26.50000","0.86705","18.08360"
"26.60000","0.86718","18.01496"
"26.70000","0.86731","17.80726"
"26.80000","0.86744","17.82839"
"26.90000","0.86758","18.02376"
"27.00000","0.86770","18.30274"
"27.10000","0.86784","18.33179"
"27.20000","0.86795","18.26490"
"27.30000","0.86808","18.30010"
"27.40000","0.86822","18.26578"
"27.50000","0.86835","18.36083"
"27.60000","0.86847","18.17249"
"27.70000","0.86861","18.35203"
"27.80000","0.86874","18.30098"
"27.90000","0.86888","18.37931"
"28.00000","0.86901","18.53332"
"28.10000","0.86914","18.60725"
"28.20000","0.86928","18.45676"
"28.30000","0.86942","18.77094"
"28.40000","0.86954","18.08009"
